Data_Month_Date,Country,HB_Treatment_Description,Treatment_Location_Code,Treatment_Location_Name,ED_MIU,Number_Of_Attendances_agg,Number_of_Attendances_Epi,Number_Meeting_Target_agg,Number_Meeting_Target_epi,Discharge_destination_admission_to_same,Discharge_destination_other_spec,Discharge_destination_residence,Discharge_destination_transfer,Discharge_destination_unknown,Attendance_greater_8hrs,Attendances_greater_12hrs
Jul-07,NHS Scotland,NHS Grampian,N432H,Stephen Hospital,MIU/Other,37,,37,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N433H,Turner Memorial Hospital,MIU/Other,113,,113,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N434H,Leanchoil Hospital,MIU/Other,62,,62,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N451H,Fleming Hospital,MIU/Other,32,,32,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N494H,Kincardine Community Hospital,MIU/Other,153,153,153,153,0,0,130,23,0,0,0
Jul-07,NHS Scotland,NHS Greater Glasgow & Clyde,C206H,Vale Of Leven District General Hospital,MIU/Other,1382,1382,1354,1354,348,3,963,65,3,1,1
Jul-07,NHS Scotland,NHS Greater Glasgow & Clyde,C313H,Inverclyde Royal Hospital - ED,ED,2693,2693,2648,2648,550,6,1973,34,130,1,0
Jul-07,NHS Scotland,NHS Greater Glasgow & Clyde,C418H,Royal Alexandra Hospital - ED,ED,5479,5479,5324,5324,1473,9,3624,58,315,4,0
Jul-07,NHS Scotland,NHS Greater Glasgow & Clyde,G107H,Glasgow Royal Infirmary - ED,ED,6200,6200,5951,5951,1697,16,4054,115,318,6,2
Jul-07,NHS Scotland,NHS Greater Glasgow & Clyde,G207H,Stobhill Hospital - ED,ED,3390,3390,3264,3264,1014,2,2203,30,141,1,0
Jul-07,NHS Scotland,NHS Greater Glasgow & Clyde,G306H,Victoria Infirmary - ED,ED,5864,5864,5744,5744,1583,14,4043,137,87,1,0
Jul-07,NHS Scotland,NHS Greater Glasgow & Clyde,G405H,Southern General Hospital - ED,ED,4186,4186,3952,3952,1094,11,2927,38,116,4,0
Jul-07,NHS Scotland,NHS Greater Glasgow & Clyde,G513H,Royal Hospital For Children Glasgow - ED,ED,2981,2981,2942,2942,524,3,2438,5,11,1,0
Jul-07,NHS Scotland,NHS Greater Glasgow & Clyde,G516H,Western Infirmary/Gartnavel General - ED,ED,5040,5040,4529,4529,1607,19,2917,116,381,40,6
Jul-07,NHS Scotland,NHS Highland,C103B,Campbeltown Hospital (2007-2009),MIU/Other,401,,401,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,C106H,Cowal Community Hospital,MIU/Other,615,,612,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,C108H,Islay Hospital,MIU/Other,110,,110,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,C110H,Mid Argyll Community Hospital And Integrated Care Centre (2007-2009),MIU/Other,468,,467,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,C113H,Victoria Hospital (NHS Highland),MIU/Other,369,,363,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,C117J,Dunaros Hospital,MIU/Other,67,,65,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,C121H,Lorn & Islands Hospital - ED,ED,616,,611,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,C122H,Campbeltown Hospital,MIU/Other,211,,211,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,H101H,Dunbar Hospital,MIU/Other,199,,199,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,H103H,Caithness General Hospital - ED,ED,496,,488,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,H106H,Lawson Memorial Hospital,MIU/Other,73,,72,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,H202H,Raigmore Hospital - ED,ED,2618,2618,2553,2553,549,18,2051,0,0,3,1
Jul-07,NHS Scotland,NHS Highland,H208H,Nairn Town And County Hospital,MIU/Other,281,,280,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,H210H,Ian Charles Community Hospital,MIU/Other,113,,111,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,H212H,Belford Hospital - ED,ED,896,,879,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,H214H,Dr Mackinnon Memorial Hospital,MIU/Other,300,,296,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,H215H,Portree Community Hospital,MIU/Other,153,,152,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,H217H,Ross Memorial Hospital,MIU/Other,185,,185,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,H219H,County Community Hospital,MIU/Other,91,,91,,,,,,,,
Jul-07,NHS Scotland,NHS Highland,H227B,Aviemore Health Centre,MIU/Other,202,,202,,,,,,,,
Jul-07,NHS Scotland,NHS Lanarkshire,L106H,University Hospital Monklands - ED,ED,5662,5662,5443,5443,1537,11,4050,22,42,3,0
Jul-07,NHS Scotland,NHS Lanarkshire,L206H,Kello Hospital,MIU/Other,165,,165,,,,,,,,
Jul-07,NHS Scotland,NHS Lanarkshire,L207H,Lady Home Hospital,MIU/Other,166,,166,,,,,,,,
Jul-07,NHS Scotland,NHS Lanarkshire,L302H,University Hospital Hairmyres - ED,ED,4545,4545,4270,4270,1089,12,3384,12,48,87,45
Jul-07,NHS Scotland,NHS Lanarkshire,L308H,University Hospital Wishaw - ED,ED,5555,5555,5351,5351,1276,7,4240,15,17,44,20
Jul-07,NHS Scotland,NHS Lothian,S116H,Western General Hospital,MIU/Other,2761,2761,2600,2600,914,4,1840,3,0,4,0
Jul-07,NHS Scotland,NHS Lothian,S308H,St John's Hospital - ED,ED,3900,3900,3642,3642,841,4,2755,75,225,2,0
Jul-07,NHS Scotland,NHS Lothian,S314H,Royal Infirmary Of Edinburgh - ED,ED,8947,8947,8468,8468,2683,15,6044,205,0,19,0
Jul-07,NHS Scotland,NHS Lothian,S319H,Royal Hospital for Children and Young People Edinburgh - ED,ED,2620,2620,2603,2603,396,1,2218,5,0,0,0
Jul-07,NHS Scotland,NHS Orkney,R103H,Balfour Hospital - MIU,MIU/Other,225,,225,,,,,,,,
Jul-07,NHS Scotland,NHS Shetland,Z102H,Gilbert Bain Hospital - ED,ED,802,802,791,791,125,0,651,3,23,0,0
Jul-07,NHS Scotland,NHS Tayside,T101H,Ninewells Hospital - ED,ED,3940,3940,3927,3927,854,9,3038,20,19,0,0
Jul-07,NHS Scotland,NHS Tayside,T202H,Perth Royal Infirmary - ED,ED,2208,2208,2192,2192,389,1,1665,69,84,0,0
Jul-07,NHS Scotland,NHS Tayside,T208H,Irvine Memorial Hospital,MIU/Other,78,78,78,78,0,0,78,0,0,0,0
Jul-07,NHS Scotland,NHS Tayside,T209H,Blairgowrie Community Hospital,MIU/Other,167,167,166,166,9,0,158,0,0,0,0
Jul-07,NHS Scotland,NHS Tayside,T304H,Arbroath Infirmary,MIU/Other,847,847,846,846,56,0,791,0,0,0,0
Jul-07,NHS Scotland,NHS Tayside,T305H,Brechin Infirmary,MIU/Other,228,228,228,228,9,0,219,0,0,0,0
Jul-07,NHS Scotland,NHS Tayside,T319H,Whitehills Health And Community Care Centre,MIU/Other,504,504,504,504,12,0,492,0,0,0,0
Jul-07,NHS Scotland,NHS Tayside,T357C,Links Health Centre,MIU/Other,444,444,444,444,0,0,0,0,444,0,0
Jul-07,NHS Scotland,NHS Western Isles,W106H,St Brendan's Hospital,MIU/Other,57,,57,,,,,,,,
Jul-07,NHS Scotland,NHS Western Isles,W107H,Western Isles Hospital - ED,ED,776,776,762,762,168,0,603,0,5,1,0
Jul-07,NHS Scotland,NHS Western Isles,W108H,Uist & Barra Hospital,MIU/Other,135,,135,,,,,,,,
Aug-07,NHS Scotland,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,MIU/Other,265,,265,,,,,,,,
Aug-07,NHS Scotland,NHS Ayrshire & Arran,A111H,University Hospital Crosshouse - ED,ED,5655,5655,5508,5508,1987,9,3548,33,78,5,3
Aug-07,NHS Scotland,NHS Ayrshire & Arran,A207H,Davidson Cottage Hospital,MIU/Other,86,,86,,,,,,,,
Aug-07,NHS Scotland,NHS Ayrshire & Arran,A210H,University Hospital Ayr - ED,ED,3558,3558,3388,3388,1211,0,2211,77,59,1,0
Aug-07,NHS Scotland,NHS Borders,B103H,Knoll Community Hospital,MIU/Other,14,,14,,,,,,,,
Aug-07,NHS Scotland,NHS Borders,B105H,Hawick Community  Hospital,MIU/Other,106,,106,,,,,,,,
Aug-07,NHS Scotland,NHS Borders,B114H,Kelso Community Hospital,MIU/Other,28,,28,,,,,,,,
Aug-07,NHS Scotland,NHS Borders,B118H,Hay Lodge Hospital,MIU/Other,122,,122,,,,,,,,
Aug-07,NHS Scotland,NHS Borders,B120H,Borders General Hospital - ED,ED,2005,2005,1993,1993,600,4,1197,34,170,0,0
Aug-07,NHS Scotland,NHS Dumfries & Galloway,Y101H,Castle Douglas Hospital,MIU/Other,92,,92,,,,,,,,
Aug-07,NHS Scotland,NHS Dumfries & Galloway,Y106H,Kirkcudbright Hospital,MIU/Other,77,,77,,,,,,,,
Aug-07,NHS Scotland,NHS Dumfries & Galloway,Y109H,Moffat Hospital,MIU/Other,10,,10,,,,,,,,
Aug-07,NHS Scotland,NHS Dumfries & Galloway,Y110H,Newton Stewart Hospital,MIU/Other,62,,62,,,,,,,,
Aug-07,NHS Scotland,NHS Dumfries & Galloway,Y144H,Galloway Community Hospital - ED,ED,1269,,1248,,,,,,,,
Aug-07,NHS Scotland,NHS Dumfries & Galloway,Y146H,Dumfries & Galloway Royal Infirmary - ED,ED,3010,3010,2903,2903,938,3,2005,10,54,2,0
Aug-07,NHS Scotland,NHS Fife,F704H,Victoria Hospital (NHS Fife) - ED,ED,3877,3877,3745,3745,572,254,2935,49,67,8,3
Aug-07,NHS Scotland,NHS Fife,F708H,Adamson Hospital,MIU/Other,155,,155,,,,,,,,
Aug-07,NHS Scotland,NHS Fife,F709H,St Andrews Community Hospital,MIU/Other,251,,250,,,,,,,,
Aug-07,NHS Scotland,NHS Fife,F805H,Queen Margaret Hospital - ED,ED,3507,3507,3400,3400,712,55,2684,31,25,3,0
Aug-07,NHS Scotland,NHS Forth Valley,V102H,Falkirk Community Hospital,MIU/Other,1872,1872,1870,1870,0,0,1344,227,301,0,0
Aug-07,NHS Scotland,NHS Forth Valley,V201H,Stirling Royal Infirmary - ED,ED,4370,4370,4055,4055,1096,4,2572,38,660,10,0
Aug-07,NHS Scotland,NHS Grampian,N101H,Aberdeen Royal Infirmary - ED,ED,5421,5421,5261,5261,1278,27,3979,108,29,5,1
Aug-07,NHS Scotland,NHS Grampian,N121H,Royal Aberdeen Children's Hospital - ED,ED,1412,1412,1402,1402,343,0,1069,0,0,0,0
Aug-07,NHS Scotland,NHS Grampian,N151H,Aboyne Hospital,MIU/Other,72,,72,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N331H,Inverurie Hospital,MIU/Other,48,,48,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N332H,Insch War Memorial Hospital,MIU/Other,93,,93,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N333H,Peterhead Community Hospital,MIU/Other,1105,,1104,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N334H,Fraserburgh Hospital,MIU/Other,806,,802,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N335H,Jubilee Hospital,MIU/Other,256,,256,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N336H,Turriff Hospital,MIU/Other,178,,178,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N337H,Chalmers Hospital,MIU/Other,385,,385,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N411H,Dr Gray's Hospital - ED,ED,1905,1905,1791,1791,560,2,1273,27,43,6,0
Aug-07,NHS Scotland,NHS Grampian,N431H,Seafield Hospital,MIU/Other,104,,104,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N432H,Stephen Hospital,MIU/Other,45,,45,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N433H,Turner Memorial Hospital,MIU/Other,118,,118,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N434H,Leanchoil Hospital,MIU/Other,62,,62,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N451H,Fleming Hospital,MIU/Other,36,,36,,,,,,,,
Aug-07,NHS Scotland,NHS Grampian,N494H,Kincardine Community Hospital,MIU/Other,150,150,150,150,0,1,122,27,0,0,0
Aug-07,NHS Scotland,NHS Greater Glasgow & Clyde,C206H,Vale Of Leven District General Hospital,MIU/Other,1407,1407,1388,1388,352,1,956,84,14,0,0
Aug-07,NHS Scotland,NHS Greater Glasgow & Clyde,C313H,Inverclyde Royal Hospital - ED,ED,2791,2791,2732,2732,577,1,2039,25,149,0,0
Aug-07,NHS Scotland,NHS Greater Glasgow & Clyde,C418H,Royal Alexandra Hospital - ED,ED,5691,5691,5548,5548,1577,6,3742,64,302,2,0
Aug-07,NHS Scotland,NHS Greater Glasgow & Clyde,G107H,Glasgow Royal Infirmary - ED,ED,6248,6248,5881,5881,1898,18,3883,113,336,9,2
Aug-07,NHS Scotland,NHS Greater Glasgow & Clyde,G207H,Stobhill Hospital - ED,ED,3627,3627,3348,3348,1062,1,2380,41,143,23,4
Aug-07,NHS Scotland,NHS Greater Glasgow & Clyde,G306H,Victoria Infirmary - ED,ED,5964,5964,5844,5844,1572,13,4225,105,49,2,0
Aug-07,NHS Scotland,NHS Greater Glasgow & Clyde,G405H,Southern General Hospital - ED,ED,4162,4162,3813,3813,1146,12,2743,36,225,7,0
Aug-07,NHS Scotland,NHS Greater Glasgow & Clyde,G513H,Royal Hospital For Children Glasgow - ED,ED,3007,3007,2962,2962,529,0,2467,3,8,2,1
Aug-07,NHS Scotland,NHS Greater Glasgow & Clyde,G516H,Western Infirmary/Gartnavel General - ED,ED,5177,5177,4733,4733,1643,9,3112,113,300,26,3
Aug-07,NHS Scotland,NHS Highland,C103B,Campbeltown Hospital (2007-2009),MIU/Other,423,,422,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,C106H,Cowal Community Hospital,MIU/Other,628,,627,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,C108H,Islay Hospital,MIU/Other,94,,94,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,C110H,Mid Argyll Community Hospital And Integrated Care Centre (2007-2009),MIU/Other,364,,364,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,C113H,Victoria Hospital (NHS Highland),MIU/Other,367,,361,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,C117J,Dunaros Hospital,MIU/Other,74,,73,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,C121H,Lorn & Islands Hospital - ED,ED,631,,629,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,C122H,Campbeltown Hospital,MIU/Other,250,,249,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,H101H,Dunbar Hospital,MIU/Other,228,,227,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,H103H,Caithness General Hospital - ED,ED,578,,573,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,H106H,Lawson Memorial Hospital,MIU/Other,66,,66,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,H202H,Raigmore Hospital - ED,ED,2805,2805,2717,2717,578,4,2167,1,55,3,0
Aug-07,NHS Scotland,NHS Highland,H208H,Nairn Town And County Hospital,MIU/Other,283,,281,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,H210H,Ian Charles Community Hospital,MIU/Other,107,,107,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,H212H,Belford Hospital - ED,ED,936,,921,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,H214H,Dr Mackinnon Memorial Hospital,MIU/Other,304,,287,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,H215H,Portree Community Hospital,MIU/Other,150,,146,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,H217H,Ross Memorial Hospital,MIU/Other,225,,225,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,H219H,County Community Hospital,MIU/Other,104,,103,,,,,,,,
Aug-07,NHS Scotland,NHS Highland,H227B,Aviemore Health Centre,MIU/Other,218,,218,,,,,,,,
Aug-07,NHS Scotland,NHS Lanarkshire,L106H,University Hospital Monklands - ED,ED,5692,5692,5498,5498,1668,3,3969,25,27,6,0
Aug-07,NHS Scotland,NHS Lanarkshire,L206H,Kello Hospital,MIU/Other,174,,174,,,,,,,,
Aug-07,NHS Scotland,NHS Lanarkshire,L207H,Lady Home Hospital,MIU/Other,140,,140,,,,,,,,
Aug-07,NHS Scotland,NHS Lanarkshire,L302H,University Hospital Hairmyres - ED,ED,4833,4833,4717,4717,1059,10,3717,15,32,20,6
Aug-07,NHS Scotland,NHS Lanarkshire,L308H,University Hospital Wishaw - ED,ED,5614,5614,5531,5531,1298,5,4267,23,21,2,0
Aug-07,NHS Scotland,NHS Lothian,S116H,Western General Hospital,MIU/Other,2972,2972,2784,2784,907,2,2060,3,0,8,0
Aug-07,NHS Scotland,NHS Lothian,S308H,St John's Hospital - ED,ED,4036,4036,3912,3912,763,4,2912,123,234,1,0
Aug-07,NHS Scotland,NHS Lothian,S314H,Royal Infirmary Of Edinburgh - ED,ED,9473,9473,8620,8620,2759,18,6526,170,0,56,1
Aug-07,NHS Scotland,NHS Lothian,S319H,Royal Hospital for Children and Young People Edinburgh - ED,ED,2875,2875,2847,2847,461,0,2410,4,0,0,0
Aug-07,NHS Scotland,NHS Orkney,R103H,Balfour Hospital - MIU,MIU/Other,237,,237,,,,,,,,
Aug-07,NHS Scotland,NHS Shetland,Z102H,Gilbert Bain Hospital - ED,ED,745,745,727,727,140,0,568,5,32,1,1
Aug-07,NHS Scotland,NHS Tayside,T101H,Ninewells Hospital - ED,ED,4072,4072,4040,4040,938,11,3090,33,0,1,0
Aug-07,NHS Scotland,NHS Tayside,T202H,Perth Royal Infirmary - ED,ED,2300,2300,2281,2281,387,0,1769,45,99,0,0
Aug-07,NHS Scotland,NHS Tayside,T208H,Irvine Memorial Hospital,MIU/Other,63,63,63,63,0,0,63,0,0,0,0
Aug-07,NHS Scotland,NHS Tayside,T209H,Blairgowrie Community Hospital,MIU/Other,147,147,145,145,7,0,140,0,0,0,0
Aug-07,NHS Scotland,NHS Tayside,T304H,Arbroath Infirmary,MIU/Other,700,700,699,699,43,0,657,0,0,0,0
Aug-07,NHS Scotland,NHS Tayside,T305H,Brechin Infirmary,MIU/Other,146,146,146,146,4,0,140,2,0,0,0
Aug-07,NHS Scotland,NHS Tayside,T319H,Whitehills Health And Community Care Centre,MIU/Other,422,422,422,422,14,0,407,1,0,0,0
Aug-07,NHS Scotland,NHS Tayside,T357C,Links Health Centre,MIU/Other,334,334,334,334,19,0,307,8,0,0,0
Aug-07,NHS Scotland,NHS Western Isles,W106H,St Brendan's Hospital,MIU/Other,36,,35,,,,,,,,
Aug-07,NHS Scotland,NHS Western Isles,W107H,Western Isles Hospital - ED,ED,767,767,742,742,180,0,584,1,2,0,0
Aug-07,NHS Scotland,NHS Western Isles,W108H,Uist & Barra Hospital,MIU/Other,112,,112,,,,,,,,
Sep-07,NHS Scotland,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,MIU/Other,173,,173,,,,,,,,
Sep-07,NHS Scotland,NHS Ayrshire & Arran,A111H,University Hospital Crosshouse - ED,ED,5499,5499,5426,5426,2028,9,3321,37,104,0,0
Sep-07,NHS Scotland,NHS Ayrshire & Arran,A207H,Davidson Cottage Hospital,MIU/Other,78,,78,,,,,,,,
Sep-07,NHS Scotland,NHS Ayrshire & Arran,A210H,University Hospital Ayr - ED,ED,3270,3270,3157,3157,1177,0,1937,83,73,0,0
Sep-07,NHS Scotland,NHS Borders,B103H,Knoll Community Hospital,MIU/Other,19,,19,,,,,,,,
Sep-07,NHS Scotland,NHS Borders,B105H,Hawick Community  Hospital,MIU/Other,106,,106,,,,,,,,
Sep-07,NHS Scotland,NHS Borders,B114H,Kelso Community Hospital,MIU/Other,31,,31,,,,,,,,
Sep-07,NHS Scotland,NHS Borders,B118H,Hay Lodge Hospital,MIU/Other,87,,87,,,,,,,,
Sep-07,NHS Scotland,NHS Borders,B120H,Borders General Hospital - ED,ED,2028,2028,2016,2016,596,0,1208,13,211,0,0
Sep-07,NHS Scotland,NHS Dumfries & Galloway,Y101H,Castle Douglas Hospital,MIU/Other,59,,59,,,,,,,,
Sep-07,NHS Scotland,NHS Dumfries & Galloway,Y106H,Kirkcudbright Hospital,MIU/Other,44,,44,,,,,,,,
Sep-07,NHS Scotland,NHS Dumfries & Galloway,Y109H,Moffat Hospital,MIU/Other,12,,12,,,,,,,,
Sep-07,NHS Scotland,NHS Dumfries & Galloway,Y110H,Newton Stewart Hospital,MIU/Other,63,,63,,,,,,,,
Sep-07,NHS Scotland,NHS Dumfries & Galloway,Y144H,Galloway Community Hospital - ED,ED,1064,,1046,,,,,,,,
Sep-07,NHS Scotland,NHS Dumfries & Galloway,Y146H,Dumfries & Galloway Royal Infirmary - ED,ED,2909,2909,2835,2835,982,5,1872,8,42,0,0
Sep-07,NHS Scotland,NHS Fife,F704H,Victoria Hospital (NHS Fife) - ED,ED,3837,3837,3646,3646,612,104,2958,41,122,12,1
Sep-07,NHS Scotland,NHS Fife,F708H,Adamson Hospital,MIU/Other,147,,147,,,,,,,,
Sep-07,NHS Scotland,NHS Fife,F709H,St Andrews Community Hospital,MIU/Other,309,,308,,,,,,,,
Sep-07,NHS Scotland,NHS Fife,F805H,Queen Margaret Hospital - ED,ED,3393,3393,3289,3289,753,137,2422,21,60,3,1
Sep-07,NHS Scotland,NHS Forth Valley,V102H,Falkirk Community Hospital,MIU/Other,1813,1813,1808,1808,0,0,1283,225,305,0,0
Sep-07,NHS Scotland,NHS Forth Valley,V201H,Stirling Royal Infirmary - ED,ED,4301,4301,4012,4012,1125,7,2544,37,588,10,0
Sep-07,NHS Scotland,NHS Grampian,N101H,Aberdeen Royal Infirmary - ED,ED,5246,5246,5038,5038,1199,21,3918,74,34,16,4
Sep-07,NHS Scotland,NHS Grampian,N121H,Royal Aberdeen Children's Hospital - ED,ED,1486,1486,1480,1480,375,0,1107,4,0,0,0
Sep-07,NHS Scotland,NHS Grampian,N151H,Aboyne Hospital,MIU/Other,89,,89,,,,,,,,
Sep-07,NHS Scotland,NHS Grampian,N331H,Inverurie Hospital,MIU/Other,64,,64,,,,,,,,
Sep-07,NHS Scotland,NHS Grampian,N332H,Insch War Memorial Hospital,MIU/Other,70,,70,,,,,,,,
Sep-07,NHS Scotland,NHS Grampian,N333H,Peterhead Community Hospital,MIU/Other,1108,,1107,,,,,,,,
Sep-07,NHS Scotland,NHS Grampian,N334H,Fraserburgh Hospital,MIU/Other,845,,842,,,,,,,,
Sep-07,NHS Scotland,NHS Grampian,N335H,Jubilee Hospital,MIU/Other,259,,259,,,,,,,,
Sep-07,NHS Scotland,NHS Grampian,N336H,Turriff Hospital,MIU/Other,185,,185,,,,,,,,
Sep-07,NHS Scotland,NHS Grampian,N337H,Chalmers Hospital,MIU/Other,343,,343,,,,,,,,
